"Site"	"Transcription-Units"	"Synonyms"
"spoVE-P1"		
"spoVE-P2"		
"spoVG-P1"	"spoVG"	
"spoVIFp"	"spoVIF"	
"spoVK-P1"	"spoVK"	
"spoVK-P2"	"spoVK"	
"spxAp"	"spxA"	
"sscAp"	"sscA-yhzE-2"	
"sspE-P7"		
"sspI-P1"	"sspI"	
"sspI-P2"	"sspI"	
"ssrAp"	"ssrA"	
"ssrSAp"	"bsrB"	
"tapAp"	"tapA-sipW-tasA"	
"tkmAp"	"tkmA-ptkA-ptpZ-ugd"	
"trpEp"	"trpEDCFBA-hisC-tyrA-aroE"	
"tuaAp"	"tuaABCDEFGH"	
"txpAp"	"txpA"	
"ureA-P2"	"ureABC"	
"ureA-P3"	"ureABC"	
"wapAp"	"wapA-yxxG"	
"xptp"	"xpt-pbuX"	
"yaaA-TR5"	"yaaA-recF-yaaB-gyrB"	
"yaaB-TR6"		
"yabEp"	"yabE"	
"ycdHp"	"ycdHI-yceA"	
"yciAp"	"yciABC"	
"yciCp"	"yczL-yciC"	
"ydhEp"	"ydhE"	
"yfhP-P1(Fujita)"		
"yfhP-P1(Yamamoto)"	"yfhP"	
"yfhP-P2(Fujita)"	"yfhP"	
"yfhQ-P2"	"yfhQ-fabL-sspE"	
"yfhR-P3"		
"yfhR-P4"		
"yfhR-P5"		
"yfmPp"	"yfmPO"	
"yhcYp"	"yhcYZ-yhdA"	
"yhzE-2p"	"yhzE-2"	
"yjbC-P1"	"yjbCD"	
"yjbC-P2"	"yjbCD"	
