M8J2-37	yoaH	BSU18610
M8J2-37	yscB	BSU28890
M8J2-3	ywnJ	BSU36540
M8J2-36		
M8J2-36	yxkC	BSU38850
M8J2-36	asnO	BSU10790
M8J2-36	bdbD	BSU33480
M8J2-36	bofA	BSU00230
M8J2-36	cotJA	BSU06890
M8J2-36		
M8J2-36	cwlJ	BSU02600
M8J2-3	ywrE	BSU36090
M8J2-35	dacB	BSU23190
M8J2-35	gerM	BSU28380
M8J2-35		
M8J2-35	mmgA	BSU24170
M8J2-35	nucB	BSU25750
M8J2-35	prkA	BSU08970
M8J2-35	safA	BSU27840
M8J2-3		
M8J2-34	spoIID	BSU36750
M8J2-34		
M8J2-34		
M8J2-34	spoIIM	BSU23530
M8J2-34	spoIIP	BSU25530
M8J2-34	spoIVCA	BSU25770
M8J2-34	spoIVCB	BSU25760
M8J2-34	spoIVFA	BSU27980
M8J2-3	yxzE	BSU38790
M8J2-33	spoVB	BSU27670
M8J2-33	spoVD	BSU15170
M8J2-33	spoVID	BSU28110
M8J2-33	spoVM	BSU15810
M8J2-33	spoVR	BSU09400
M8J2-33	usd	BSU36430
M8J2-33	yaaH	BSU00160
M8J2-3	abh	BSU14480
M8J2-32		
M8J2-32	ybaN	BSU01570
M8J2-32	ycgF	BSU03090
M8J2-32	ydcA	BSU04610
M8J2-32	ydcC	BSU04630
M8J2-32	ydhD	BSU05710
M8J2-32	yfhS	BSU08640
M8J2-32	yhaX	BSU09830
M8J2-32	yhbH	BSU08980
M8J2-3	csbB	BSU08600
M8J2-31	yheC	BSU09780
M8J2-31	yhjR	BSU10610
M8J2-31	yhxC	BSU10400
M8J2-31	yjbE	BSU11510
M8J2-31	cotO	BSU11730
M8J2-31	yjdH	BSU12050
M8J2-31	yjfA	BSU12110
M8J2-3		
M8J2-30	yknT	BSU14250
M8J2-30	ykvI	BSU13710
M8J2-30	ykvU	BSU13830
M8J2-30	ylbJ	BSU15030
M8J2-30	gerR	BSU15090
M8J2-30	yloB	BSU15650
M8J2-30	alrB	BSU17640
M8J2-30	yndA	BSU17720
M8J2-30	yngJ	BSU18260
M8J2-3	dltA	BSU38500
M8J2-29	ypjB	BSU22520
M8J2-29	yqfC	BSU25360
M8J2-29	yqfZ	BSU25060
M8J2-29	pbpI	BSU27310
M8J2-29	ysnD	BSU28320
M8J2-29	yteV	BSU30080
M8J2-29	ytrH	BSU29239
M8J2-29	ytvI	BSU29160
M8J2-28	ytxC	BSU28960
M8J2-28	fisB	BSU32350
M8J2-28	yuzC	BSU31730
M8J2-28	ctpB	BSU35240
M8J2-28	gerQ	BSU37920
M8J2-28	hbuT	BSU39000
M8J2-28	yyaD	BSU40940
M8J2-28		
M8J2-28		
M8J2-28	csfB	BSU00240
M8J2-2	pbpX	BSU16950
M8J2-27		
M8J2-27	dacF	BSU23480
M8J2-27	gpr	BSU25540
M8J2-27	katX	BSU38630
M8J2-27	lonB	BSU28210
M8J2-27	rsfA	BSU37620
M8J2-27		
M8J2-27	spoIIR	BSU36970
M8J2-26	spoIVB	BSU24230
M8J2-26	sspN	BSU18020
M8J2-26		
M8J2-26	yhcM	BSU09140
M8J2-26	yhcN	BSU09150
M8J2-26	yhfM	BSU10280
M8J2-26	yhfW	BSU10390
M8J2-26	ylbB	BSU14950
M8J2-26	yphA	BSU22860
M8J2-26	yqhQ	BSU24490
M8J2-2	rapD	BSU36380
M8J2-25	yqzG	BSU24650
M8J2-25	pbpI	BSU27310
M8J2-25	ytfI	BSU29510
M8J2-25	rppH	BSU30630
M8J2-25	yuiC	BSU32070
M8J2-25	pbpG	BSU37510
M8J2-25		
M8J2-25	yyaC	BSU40950
M8J2-25		
M8J2-25	csgA	BSU02070
M8J2-2	sigX	BSU23100
M8J2-24	dacF	BSU23480
M8J2-24	exoA	BSU22010
M8J2-24	gerBA	BSU35800
M8J2-24	gpr	BSU25540
M8J2-24	rsfA	BSU37620
M8J2-24		
M8J2-23	sleB	BSU22930
M8J2-23	spoIVB	BSU24230
M8J2-23		
M8J2-23	spoVT	BSU00560
M8J2-23	sspA	BSU29570
M8J2-23	sspB	BSU09750
M8J2-23	sspC	BSU19950
M8J2-23	sspD	BSU13470
M8J2-2	yqjL	BSU23830
M8J2-22	sspF	BSU00450
M8J2-22		
M8J2-22	sspJ	BSU33340
M8J2-22	sspK	BSU08550
M8J2-22	sspL	BSU22000
M8J2-22	sspM	BSU22290
M8J2-22	sspN	BSU18020
M8J2-2	yrhH	BSU27180
M8J2-21	sspO	BSU17990
M8J2-21	ybaK	BSU01520
M8J2-21	yckD	BSU03400
M8J2-21	ydfR	BSU05530
M8J2-21	ydfS	BSU05540
M8J2-21	pdaA	BSU07980
M8J2-21		
M8J2-21	yhcN	BSU09150
M8J2-21	yhcQ	BSU09180
M8J2-21	yhcV	BSU09230
M8J2-2		
M8J2-20	yisY	BSU10900
M8J2-20	yitG	BSU10980
M8J2-20		
M8J2-20	ylaJ	BSU14800
M8J2-20	yndD	BSU17750
M8J2-20	yoaR	BSU18720
M8J2-20	yozQ	BSU18600
M8J2-20	ypzA	BSU21950
M8J2-20	nfo	BSU25130
M8J2-20	yraG	BSU26950
M8J2-2	ywnJ	BSU36540
M8J2-	bceA	BSU30380
M8J2-19	yrrD	BSU27470
M8J2-19	yteA	BSU30840
M8J2-19	yuzA	BSU31380
M8J2-19	azoR2	BSU33540
M8J2-19	cotQ	BSU34520
M8J2-19	yvdQ	BSU34510
M8J2-19		
M8J2-19	ctpB	BSU35240
M8J2-19	pbpG	BSU37510
M8J2-19	yxeD	BSU39590
M8J2-1	bcrC	BSU36530
M8J2-18	kinA	BSU13990
M8J2-18		
M8J2-1	sigY	BSU38700
M8J2-17		
M8J2-17		
M8J2-17		
M8J2-17	spo0M	BSU08760
M8J2-17		
M8J2-1	ybgB	BSU02380
M8J2-16	spoVS	BSU16980
M8J2-16	galM	BSU18360
M8J2-16	racA	BSU37030
M8J2-16	cgeA	BSU19780
M8J2-16	cgeC	BSU19770
M8J2-1	maeA	BSU37050
M8J2-15	cotA	BSU06300
M8J2-15	cotB	BSU36050
M8J2-15	cotC	BSU17700
M8J2-15	cotD	BSU22200
M8J2-15	cotF	BSU40530
M8J2-15	cotG	BSU36070
M8J2-15	cotH	BSU36060
M8J2-1	ylaA	BSU14710
M8J2-14	gerT	BSU19490
M8J2-14	ydgB	BSU05570
M8J2-14	cotSA	BSU30910
M8J2-14	cotT	BSU12090
M8J2-14	cotV	BSU11780
M8J2-14	cotY	BSU11750
M8J2-14	cwlC	BSU17410
M8J2-14	cwlH	BSU25710
M8J2-1	mtnU	BSU13570
M8J2-13	gerE	BSU28410
M8J2-13	gerPA	BSU10720
M8J2-13	spoIVCB	BSU25760
M8J2-13	spoVFA	BSU16730
M8J2-13	sspG	BSU32640
M8J2-13	yabG	BSU00430
M8J2-13		
